Date,PPTA
2021-02-18,8.100000381469727
2021-02-19,8.600000381469727
2021-02-22,7.829999923706055
2021-02-23,6.869999885559082
2021-02-24,6.920000076293945
2021-02-25,6.829999923706055
2021-02-26,6.449999809265137
2021-03-01,6.400000095367432
2021-03-02,6.849999904632568
2021-03-03,6.519999980926514
2021-03-04,6.159999847412109
2021-03-05,6.0
2021-03-08,6.099999904632568
2021-03-09,6.409999847412109
2021-03-10,6.690000057220459
2021-03-11,6.5
2021-03-12,7.809999942779541
2021-03-15,7.900000095367432
2021-03-16,7.269999980926514
2021-03-17,7.650000095367432
2021-03-18,7.320000171661377
2021-03-19,7.239999771118164
2021-03-22,7.139999866485596
2021-03-23,6.829999923706055
2021-03-24,6.550000190734863
2021-03-25,6.479000091552734
2021-03-26,6.75
2021-03-29,6.619999885559082
2021-03-30,6.170000076293945
2021-03-31,6.070000171661377
2021-04-01,6.5
2021-04-05,6.460000038146973
2021-04-06,6.590000152587891
2021-04-07,6.480000019073486
2021-04-08,6.920000076293945
2021-04-09,6.949999809265137
2021-04-12,7.050000190734863
2021-04-13,6.900000095367432
2021-04-14,6.960000038146973
2021-04-15,6.960000038146973
2021-04-16,6.960000038146973
2021-04-19,7.119999885559082
2021-04-20,7.0
2021-04-21,7.210000038146973
2021-04-22,7.21999979019165
2021-04-23,7.360000133514404
2021-04-26,7.5
2021-04-27,7.400000095367432
2021-04-28,7.449999809265137
2021-04-29,7.480000019073486
2021-04-30,7.690000057220459
2021-05-03,7.71999979019165
2021-05-04,7.619999885559082
2021-05-05,7.75
2021-05-06,7.820000171661377
2021-05-07,8.75
2021-05-10,8.59000015258789
2021-05-11,8.239999771118164
2021-05-12,7.840000152587891
2021-05-13,7.800000190734863
2021-05-14,7.840000152587891
2021-05-17,8.210000038146973
2021-05-18,8.5600004196167
2021-05-19,8.449999809265137
2021-05-20,8.6899995803833
2021-05-21,8.359999656677246
2021-05-24,8.489999771118164
2021-05-25,8.079999923706055
2021-05-26,7.909999847412109
2021-05-27,7.670000076293945
2021-05-28,7.71999979019165
2021-06-01,7.989999771118164
2021-06-02,7.920000076293945
2021-06-03,7.429999828338623
2021-06-04,7.510000228881836
2021-06-07,8.1899995803833
2021-06-08,8.229999542236328
2021-06-09,8.239999771118164
2021-06-10,8.34000015258789
2021-06-11,8.609999656677246
2021-06-14,8.75
2021-06-15,9.170000076293945
2021-06-16,9.329999923706055
2021-06-17,8.770000457763672
2021-06-18,8.899999618530273
2021-06-21,8.600000381469727
2021-06-22,8.630000114440918
2021-06-23,8.520000457763672
2021-06-24,8.729999542236328
2021-06-25,8.569999694824219
2021-06-28,7.599999904632568
2021-06-29,7.579999923706055
2021-06-30,7.300000190734863
2021-07-01,7.670000076293945
2021-07-02,7.449999809265137
2021-07-06,6.730000019073486
2021-07-07,6.400000095367432
2021-07-08,6.380000114440918
2021-07-09,6.650000095367432
2021-07-12,6.5
2021-07-13,6.869999885559082
2021-07-14,6.960000038146973
2021-07-15,6.690000057220459
2021-07-16,6.559999942779541
2021-07-19,6.380000114440918
2021-07-20,6.380000114440918
2021-07-21,6.420000076293945
2021-07-22,6.119999885559082
2021-07-23,5.800000190734863
2021-07-26,5.659999847412109
2021-07-27,5.570000171661377
2021-07-28,5.579999923706055
2021-07-29,5.679999828338623
2021-07-30,5.690000057220459
2021-08-02,5.929999828338623
2021-08-03,5.480000019073486
