Date,INDV
2014-12-29,10.649999618530273
2014-12-30,10.800000190734863
2014-12-31,11.25
2015-01-02,11.319999694824219
2015-01-05,11.149999618530273
2015-01-06,11.0
2015-01-07,10.75
2015-01-08,11.449999809265137
2015-01-09,11.100000381469727
2015-01-12,11.100000381469727
2015-01-13,11.0
2015-01-14,11.0
2015-01-15,11.0
2015-01-16,11.75
2015-01-20,11.800000190734863
2015-01-21,11.949999809265137
2015-01-22,11.649999618530273
2015-01-23,11.75
2015-01-26,12.649999618530273
2015-01-27,12.75
2015-01-28,12.800000190734863
2015-01-29,12.600000381469727
2015-01-30,12.600000381469727
2015-02-02,13.0
2015-02-03,13.25
2015-02-04,12.75
2015-02-05,12.75
2015-02-06,12.649999618530273
2015-02-09,12.899999618530273
2015-02-10,13.029999732971191
2015-02-11,12.5
2015-02-12,13.699999809265137
2015-02-13,12.75
2015-02-17,12.100000381469727
2015-02-18,12.600000381469727
2015-02-19,12.600000381469727
2015-02-20,12.600000381469727
2015-02-23,12.25
2015-02-24,12.5
2015-02-25,12.850000381469727
2015-02-26,12.75
2015-02-27,13.0
2015-03-02,13.0
2015-03-03,13.100000381469727
2015-03-04,14.100000381469727
2015-03-05,13.0
2015-03-06,13.0
2015-03-09,12.75
2015-03-10,12.800000190734863
2015-03-11,12.800000190734863
2015-03-12,12.75
2015-03-13,12.600000381469727
2015-03-16,12.800000190734863
2015-03-17,13.050000190734863
2015-03-18,13.550000190734863
2015-03-19,14.5
2015-03-20,15.0
2015-03-23,14.550000190734863
2015-03-24,14.550000190734863
2015-03-25,15.0
2015-03-26,14.5
2015-03-27,14.050000190734863
2015-03-30,14.0
2015-03-31,13.5
2015-04-01,14.0
2015-04-02,14.5
2015-04-06,14.350000381469727
2015-04-07,14.350000381469727
2015-04-08,14.350000381469727
2015-04-09,14.399999618530273
2015-04-10,15.050000190734863
2015-04-13,15.699999809265137
2015-04-14,16.0
2015-04-15,15.470000267028809
2015-04-16,15.470000267028809
2015-04-17,15.470000267028809
2015-04-20,15.470000267028809
2015-04-21,14.75
2015-04-22,14.75
2015-04-23,15.1899995803833
2015-04-24,15.899999618530273
2015-04-27,14.899999618530273
2015-04-28,15.75
2015-04-29,15.050000190734863
2015-04-30,14.949999809265137
2015-05-01,14.949999809265137
2015-05-04,14.949999809265137
2015-05-05,17.149999618530273
2015-05-06,17.25
2015-05-07,17.25
2015-05-08,17.049999237060547
2015-05-11,19.200000762939453
2015-05-12,17.25
2015-05-13,18.5
2015-05-14,18.0
2015-05-15,17.649999618530273
2015-05-18,17.549999237060547
2015-05-19,17.75
2015-05-20,17.700000762939453
2015-05-21,18.299999237060547
2015-05-22,18.09000015258789
2015-05-26,17.899999618530273
2015-05-27,17.399999618530273
2015-05-28,17.100000381469727
2015-05-29,18.079999923706055
2015-06-01,17.235000610351562
2015-06-02,17.235000610351562
2015-06-03,17.75
2015-06-04,18.424999237060547
2015-06-05,17.899999618530273
2015-06-08,17.600000381469727
2015-06-09,17.600000381469727
2015-06-10,17.600000381469727
2015-06-11,17.75
2015-06-12,17.850000381469727
2015-06-15,17.350000381469727
2015-06-16,17.350000381469727
2015-06-17,17.350000381469727
2015-06-18,18.399999618530273
2015-06-19,18.399999618530273
2015-06-22,18.399999618530273
2015-06-23,18.549999237060547
2015-06-24,18.0
2015-06-25,18.649999618530273
2015-06-26,18.649999618530273
2015-06-29,17.924999237060547
2015-06-30,18.649999618530273
2015-07-01,18.649999618530273
2015-07-02,18.100000381469727
2015-07-06,17.5
2015-07-07,17.75
2015-07-08,17.5
2015-07-09,17.700000762939453
2015-07-10,17.799999237060547
2015-07-13,18.549999237060547
2015-07-14,18.75
2015-07-15,19.049999237060547
2015-07-16,19.75
2015-07-17,19.75
2015-07-20,19.600000381469727
2015-07-21,20.350000381469727
2015-07-22,19.875
2015-07-23,19.899999618530273
2015-07-24,20.75
2015-07-27,20.5
2015-07-28,20.5
2015-07-29,20.5
2015-07-30,20.049999237060547
2015-07-31,20.0
2015-08-03,20.06999969482422
2015-08-04,20.06999969482422
2015-08-05,20.299999237060547
2015-08-06,19.5
2015-08-07,19.0
2015-08-10,19.0
2015-08-11,19.0
2015-08-12,18.5
2015-08-13,18.549999237060547
2015-08-14,18.549999237060547
2015-08-17,18.68000030517578
2015-08-18,18.68000030517578
2015-08-19,18.0
2015-08-20,17.399999618530273
2015-08-21,17.399999618530273
2015-08-24,16.049999237060547
2015-08-25,16.5
2015-08-26,16.75
2015-08-27,16.75
2015-08-28,16.75
2015-08-31,16.75
2015-09-01,16.5
2015-09-02,16.450000762939453
2015-09-03,17.0
2015-09-04,16.850000381469727
2015-09-08,17.0
2015-09-09,17.0
2015-09-10,17.0
2015-09-11,17.200000762939453
2015-09-14,17.200000762939453
2015-09-15,17.059999465942383
2015-09-16,17.0
2015-09-17,16.700000762939453
2015-09-18,17.25
2015-09-21,16.549999237060547
2015-09-22,16.549999237060547
2015-09-23,16.549999237060547
2015-09-24,16.5
2015-09-25,16.5
2015-09-28,16.5
2015-09-29,16.899999618530273
2015-09-30,17.0
2015-10-01,17.575000762939453
2015-10-02,17.575000762939453
2015-10-05,17.100000381469727
2015-10-06,17.100000381469727
2015-10-07,16.450000762939453
2015-10-08,16.450000762939453
2015-10-09,16.450000762939453
2015-10-12,15.699999809265137
2015-10-13,15.524999618530273
2015-10-14,16.0
2015-10-15,16.0
2015-10-16,16.0
2015-10-19,16.0
2015-10-20,16.0
2015-10-21,16.149999618530273
2015-10-22,16.0
2015-10-23,15.600000381469727
2015-10-26,16.200000762939453
2015-10-27,16.200000762939453
2015-10-28,15.670000076293945
2015-10-29,15.670000076293945
2015-10-30,15.670000076293945
2015-11-02,16.06999969482422
2015-11-03,15.0
2015-11-04,15.5
2015-11-05,15.0
2015-11-06,15.0
2015-11-09,14.399999618530273
2015-11-10,14.399999618530273
2015-11-11,15.074999809265137
2015-11-12,14.550000190734863
2015-11-13,14.550000190734863
2015-11-16,14.819999694824219
2015-11-17,15.550000190734863
2015-11-18,14.5
2015-11-19,14.75
2015-11-20,14.75
2015-11-23,14.600000381469727
2015-11-24,14.100000381469727
2015-11-25,14.0
2015-11-27,14.0
2015-11-30,14.449999809265137
2015-12-01,15.100000381469727
2015-12-02,14.199999809265137
2015-12-03,14.25
2015-12-04,14.800000190734863
2015-12-07,14.800000190734863
2015-12-08,14.100000381469727
2015-12-09,14.100000381469727
2015-12-10,14.4399995803833
2015-12-11,14.4399995803833
2015-12-14,14.4399995803833
2015-12-15,14.449999809265137
2015-12-16,13.850000381469727
2015-12-17,13.850000381469727
2015-12-18,13.819999694824219
2015-12-21,13.5
2015-12-22,13.5
2015-12-23,13.649999618530273
2015-12-24,13.649999618530273
2015-12-28,13.649999618530273
2015-12-29,13.649999618530273
2015-12-30,13.600000381469727
2015-12-31,13.600000381469727
2016-01-04,13.25
2016-01-05,13.850000381469727
2016-01-06,13.199999809265137
2016-01-07,12.979999542236328
2016-01-08,12.979999542236328
2016-01-11,12.699999809265137
2016-01-12,12.699999809265137
2016-01-13,11.899999618530273
2016-01-14,11.350000381469727
2016-01-15,11.600000381469727
2016-01-19,11.149999618530273
2016-01-20,11.149999618530273
2016-01-21,10.649999618530273
2016-01-22,10.649999618530273
2016-01-25,11.350000381469727
2016-01-26,10.75
2016-01-27,10.75
2016-01-28,10.699999809265137
2016-01-29,10.399999618530273
2016-02-01,10.5
