Date,MRCY
2010-01-04,11.65999984741211
2010-01-05,11.170000076293945
2010-01-06,10.9399995803833
2010-01-07,11.5600004196167
2010-01-08,11.859999656677246
2010-01-11,11.59000015258789
2010-01-12,11.300000190734863
2010-01-13,11.949999809265137
2010-01-14,11.979999542236328
2010-01-15,11.970000267028809
2010-01-19,13.069999694824219
2010-01-20,12.569999694824219
2010-01-21,12.609999656677246
2010-01-22,12.550000190734863
2010-01-25,12.899999618530273
2010-01-26,12.479999542236328
2010-01-27,13.720000267028809
2010-01-28,12.40999984741211
2010-01-29,11.9399995803833
2010-02-01,12.069999694824219
2010-02-02,11.630000114440918
2010-02-03,11.119999885559082
2010-02-04,10.670000076293945
2010-02-05,10.850000381469727
2010-02-08,10.609999656677246
2010-02-09,11.3100004196167
2010-02-10,12.380000114440918
2010-02-11,12.609999656677246
2010-02-12,12.59000015258789
2010-02-16,12.680000305175781
2010-02-17,12.65999984741211
2010-02-18,12.75
2010-02-19,12.699999809265137
2010-02-22,12.84000015258789
2010-02-23,12.609999656677246
2010-02-24,12.760000228881836
2010-02-25,12.369999885559082
2010-02-26,12.220000267028809
2010-03-01,12.4399995803833
2010-03-02,12.579999923706055
2010-03-03,12.369999885559082
2010-03-04,12.359999656677246
2010-03-05,12.720000267028809
2010-03-08,12.720000267028809
2010-03-09,12.960000038146973
2010-03-10,12.859999656677246
2010-03-11,12.890000343322754
2010-03-12,12.779999732971191
2010-03-15,12.59000015258789
2010-03-16,12.479999542236328
2010-03-17,12.529999732971191
2010-03-18,12.720000267028809
2010-03-19,12.25
2010-03-22,12.899999618530273
2010-03-23,13.319999694824219
2010-03-24,13.369999885559082
2010-03-25,13.300000190734863
2010-03-26,13.199999809265137
2010-03-29,13.239999771118164
2010-03-30,13.880000114440918
2010-03-31,13.720000267028809
2010-04-01,13.380000114440918
2010-04-05,14.020000457763672
2010-04-06,13.829999923706055
2010-04-07,13.789999961853027
2010-04-08,13.789999961853027
2010-04-09,13.670000076293945
2010-04-12,13.710000038146973
2010-04-13,13.630000114440918
2010-04-14,14.010000228881836
2010-04-15,13.970000267028809
2010-04-16,13.890000343322754
2010-04-19,13.90999984741211
2010-04-20,13.930000305175781
2010-04-21,14.170000076293945
