Date,RIG
2010-01-04,69.0058822631836
2010-01-05,70.42130279541016
2010-01-06,72.8863754272461
2010-01-07,72.36952209472656
2010-01-08,73.9519271850586
2010-01-11,73.57024383544922
2010-01-12,71.73335266113281
2010-01-13,73.28396606445312
2010-01-14,73.41914367675781
2010-01-15,73.0374526977539
2010-01-19,73.96782684326172
2010-01-20,72.35358428955078
2010-01-21,70.9620361328125
2010-01-22,68.16300201416016
2010-01-25,69.2842025756836
2010-01-26,69.451171875
2010-01-27,69.41143035888672
2010-01-28,67.69384002685547
2010-01-29,67.38371276855469
2010-02-01,69.451171875
2010-02-02,70.88250732421875
2010-02-03,69.53070831298828
2010-02-04,66.27046966552734
2010-02-05,66.78732299804688
2010-02-08,66.31817626953125
2010-02-09,67.40757751464844
2010-02-10,67.43938446044922
2010-02-11,68.36974334716797
2010-02-12,66.3022689819336
2010-02-16,65.88080596923828
2010-02-17,66.89865112304688
2010-02-18,66.25456237792969
2010-02-19,67.6858901977539
2010-02-22,67.82903289794922
2010-02-23,67.20082092285156
2010-02-24,63.495277404785156
2010-02-25,63.01021957397461
2010-02-26,63.47142791748047
2010-03-01,63.82130813598633
2010-03-02,64.56082153320312
2010-03-03,65.68997955322266
2010-03-04,66.10347747802734
2010-03-05,67.02587890625
2010-03-08,67.58251953125
2010-03-09,67.50299835205078
2010-03-10,68.34587860107422
2010-03-11,68.0198745727539
2010-03-12,68.44131469726562
2010-03-15,67.35191345214844
2010-03-16,68.67191314697266
2010-03-17,67.9642105102539
2010-03-18,66.53287506103516
2010-03-19,65.07769012451172
2010-03-22,64.8311996459961
2010-03-23,65.74563598632812
2010-03-24,65.21287536621094
2010-03-25,64.52106475830078
2010-03-26,65.07769012451172
2010-03-29,65.98417663574219
2010-03-30,66.1352767944336
2010-03-31,68.68781280517578
2010-04-01,70.58829498291016
2010-04-05,70.86662292480469
2010-04-06,70.2463607788086
2010-04-07,69.0933609008789
2010-04-08,69.3716812133789
2010-04-09,68.10733032226562
2010-04-12,68.23456573486328
2010-04-13,67.2962417602539
2010-04-14,69.48300170898438
2010-04-15,69.99191284179688
2010-04-16,69.14904022216797
2010-04-19,70.20661163330078
2010-04-20,73.18060302734375
2010-04-21,71.86060333251953
2010-04-22,71.79698181152344
2010-04-23,71.4789047241211
2010-04-26,69.97600555419922
2010-04-27,67.20878601074219
2010-04-28,67.45527648925781
2010-04-29,62.42973327636719
2010-04-30,57.50756072998047
2010-05-03,57.976722717285156
2010-05-04,57.84152603149414
2010-05-05,57.85744094848633
2010-05-06,55.42417907714844
2010-05-07,54.080322265625
